bias,positive,negative,sentiment
1,3133,61,1.0
1,3705,444,1.0
1,3119,116,1.0
1,2975,4,1.0
1,3232,226,1.0
1,3070,120,1.0
1,4054,538,1.0
1,3280,278,1.0
1,656,189,1.0
1,266,114,1.0
1,3128,55,1.0
1,3794,718,1.0
1,4073,743,1.0
1,3193,206,1.0
1,3415,262,1.0
1,1032,241,1.0
1,3198,293,1.0
1,1205,249,1.0
1,3116,30,1.0
1,3647,542,1.0
1,3611,344,1.0
1,3075,115,1.0
1,3119,124,1.0
1,3625,447,1.0
1,3002,56,1.0
1,1074,94,1.0
1,3806,974,1.0
1,3377,415,1.0
1,3218,126,1.0
1,571,31,1.0
1,3001,124,1.0
1,3028,87,1.0
1,2997,25,1.0
1,4785,698,1.0
1,639,79,1.0
1,4073,743,1.0
1,3137,79,1.0
1,663,128,1.0
1,819,172,1.0
1,1067,566,1.0
1,855,179,1.0
1,793,169,1.0
1,3719,120,1.0
1,3498,536,1.0
1,6554,338,1.0
1,1120,201,1.0
1,3525,549,1.0
1,2995,42,1.0
1,3144,79,1.0
1,901,289,1.0
1,3245,243,1.0
1,3133,61,1.0
1,3210,291,1.0
1,754,173,1.0
1,3099,77,1.0
1,2978,10,1.0
1,3417,290,1.0
1,3285,172,1.0
1,6431,527,1.0
1,524,0,1.0
1,2978,12,1.0
1,4073,743,1.0
1,621,165,1.0
1,3320,134,1.0
1,3166,392,1.0
1,2968,4,1.0
1,3014,7,1.0
1,3943,445,1.0
1,3244,307,1.0
1,3128,55,1.0
1,3176,126,1.0
1,3345,182,1.0
1,446,135,1.0
1,1213,599,1.0
1,2964,4,1.0
1,4279,608,1.0
1,1186,502,1.0
1,3611,344,1.0
1,3065,102,1.0
1,2978,19,1.0
1,1045,94,1.0
1,4785,698,1.0
1,928,282,1.0
1,2961,3,1.0
1,3159,176,1.0
1,1148,479,1.0
1,3209,208,1.0
1,3625,447,1.0
1,3069,97,1.0
1,3296,130,1.0
1,3502,546,1.0
1,3137,79,1.0
1,4073,743,1.0
1,3243,380,1.0
1,3097,27,1.0
1,3131,144,1.0
1,608,40,1.0
1,3322,405,1.0
1,3943,445,1.0
1,739,151,1.0
1,625,189,1.0
1,3566,535,1.0
1,3014,50,1.0
1,3243,195,1.0
1,3943,445,1.0
1,3133,61,1.0
1,528,2,1.0
1,3245,148,1.0
1,3226,122,1.0
1,1114,112,1.0
1,3290,222,1.0
1,3201,244,1.0
1,3032,10,1.0
1,3128,55,1.0
1,3516,113,1.0
1,742,99,1.0
1,3348,488,1.0
1,3343,201,1.0
1,4785,698,1.0
1,3240,383,1.0
1,4073,743,1.0
1,4381,706,1.0
1,3540,510,1.0
1,2987,15,1.0
1,3505,289,1.0
1,1102,396,1.0
1,2977,13,1.0
1,3611,344,1.0
1,2963,16,1.0
1,2978,5,1.0
1,3098,240,1.0
1,2979,12,1.0
1,128,18,1.0
1,3139,231,1.0
1,3482,96,1.0
1,3137,79,1.0
1,3002,46,1.0
1,571,8,1.0
1,3095,140,1.0
1,3283,374,1.0
1,2984,19,1.0
1,2963,6,1.0
1,5989,55,1.0
1,901,372,1.0
1,600,67,1.0
1,3163,123,1.0
1,3189,110,1.0
1,4073,743,1.0
1,3696,264,1.0
1,3196,190,1.0
1,3029,52,1.0
1,3055,59,1.0
1,2967,16,1.0
1,3789,435,1.0
1,3133,61,1.0
1,3088,114,1.0
1,3335,417,1.0
1,573,248,1.0
1,4785,698,1.0
1,419,150,1.0
1,3334,485,1.0
1,3153,297,1.0
1,4073,743,1.0
1,3091,107,1.0
1,3128,55,1.0
1,642,550,1.0
1,556,96,1.0
1,819,159,1.0
1,3190,292,1.0
1,3023,70,1.0
1,3212,317,1.0
1,3204,83,1.0
